                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4831,                 2.4085,                 1.7881,                0.32097,                0.11271,                0.15203,                0.06039,                 1.9487,                 2.9479,                 2.3466,             0.00064762,             0.00064762,             0.00064762
                      2,                 1.5404,                 2.1194,                 1.8285,                 0.1066,                0.14468,                0.06018,                0.02088,                 2.4861,                 6.2252,                 3.6317,              0.0012883,              0.0012883,              0.0012883
                      3,                  1.601,                 2.1192,                    1.9,                0.04551,                0.09592,                0.01556,                0.00397,                 3.2781,                 12.332,                 4.4071,              0.0019025,              0.0019025,              0.0019025
                      4,                 1.6344,                 2.0739,                 1.9157,                0.00606,                0.23102,                0.00431,                0.00131,                  2.913,                    inf,                 3.8811,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5741,                 1.9618,                 1.8619,                0.08083,                0.23147,                0.04144,                0.01328,                 2.5849,                 5.3317,                 3.0085,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.5534,                 1.9359,                 1.8534,                0.14262,                0.22062,                0.07696,                0.02601,                 2.4192,                 6.7607,                 2.8676,               0.001802,               0.001802,               0.001802
                      7,                 1.5174,                 1.8826,                 1.8198,                0.23149,                0.39408,                0.17971,                0.06854,                  2.252,                 3.2458,                 2.6904,              0.0017624,              0.0017624,              0.0017624
                      8,                   1.49,                 1.8508,                 1.8093,                0.48344,                0.40528,                0.34679,                0.16882,                 1.9302,                  2.813,                 2.4594,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4676,                 1.8049,                 1.7905,                0.33054,                 0.3757,                0.25791,                 0.0993,                 2.3318,                 2.9723,                 2.7532,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4605,                 1.7603,                 1.7602,                0.36125,                0.35092,                0.26729,                0.11678,                 2.1015,                 2.9903,                 2.4237,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.4384,                 1.7458,                 1.7711,                0.53946,                0.44764,                0.40858,                0.19212,                  1.949,                 1.9966,                 2.3765,               0.001604,               0.001604,               0.001604
